fecha,dia_semana,turno,pos_01,pos_02,pos_03,pos_04,pos_05,pos_06,pos_07,pos_08,pos_09,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
2025-05-26,Lunes,LA PRIMERA,2158,5457,0610,6716,0711,3260,4466,7867,5466,6350,7063,6061,4573,5252,6674,7964,3177,0602,3598,7356
2025-05-26,Lunes,MATUTINA,2218,1236,8981,9689,5675,6103,8472,1312,6292,3470,7692,6734,8488,3003,4997,9004,9889,1801,0014,6029
2025-05-26,Lunes,VESPERTINA,4285,4469,4490,9617,7979,9885,4219,6858,0580,8495,2780,1317,3817,0590,9088,9382,6988,2673,9280,6191
2025-05-26,Lunes,NOCTURNA,8523,1318,1173,7587,5968,8776,8205,2710,7019,1770,7700,2874,7974,5342,0937,2180,3048,4781,3539,9122
2025-05-27,Martes,LA PREVIA,8623,0956,0652,0765,4854,5235,6850,7540,7166,2939,0309,1111,8636,5632,4409,3852,6371,1902,9509,2435
2025-05-27,Martes,LA PRIMERA,6117,8031,6856,0957,7770,1896,8011,3072,5550,7602,6892,7720,8787,0050,5650,6257,7830,0817,9597,6585
2025-05-27,Martes,MATUTINA,8775,6799,6510,8505,7075,6073,4715,8638,1551,6475,7824,9554,1124,6121,2446,5935,7049,2438,4474,3814
2025-05-27,Martes,VESPERTINA,1007,3212,0801,5355,8881,5221,9119,9707,6739,1606,2994,5202,9742,5475,1031,5518,5372,3049,1864,6766
2025-05-27,Martes,NOCTURNA,1211,4148,9702,7080,7945,9434,5089,6650,1919,1519,3885,1701,9037,9767,9056,4240,0901,7576,9703,6479
2025-05-28,Miércoles,LA PREVIA,8325,1819,1007,1310,9365,1305,1649,6739,0476,3539,8427,0928,6579,1131,7134,4484,7336,6695,1255,6807
2025-05-28,Miércoles,LA PRIMERA,5187,1507,6785,6129,6158,0802,3107,2084,1518,6292,5354,0303,4223,6778,9119,7545,5173,0385,1708,4643
2025-05-28,Miércoles,MATUTINA,8856,8762,8323,7703,8139,2472,7034,1159,2363,9699,1793,8656,0360,0001,5156,5931,1310,8553,9409,3952
2025-05-28,Miércoles,VESPERTINA,2881,1600,7570,4905,1225,1551,7521,6369,8879,7810,9792,1132,5861,0536,8207,8061,8575,9829,6199,6669
2025-05-28,Miércoles,NOCTURNA,4371,1821,1264,1304,9515,3009,4208,1423,0480,1753,1539,4099,7018,2735,6226,5919,6079,4475,2419,2591
2025-05-29,Jueves,LA PREVIA,6413,6832,8339,8763,8395,6509,0116,5499,9987,4603,0170,4324,6829,5903,0405,6207,4283,5873,9068,0800
2025-05-29,Jueves,LA PRIMERA,4303,9799,6007,5069,6661,7714,6956,2086,7554,7610,7850,0672,4508,1079,1884,0248,1185,9681,4512,1682
2025-05-29,Jueves,MATUTINA,7135,0791,7203,6205,3084,8480,3870,3692,7977,6414,6341,2009,8003,9420,2109,9340,2503,8085,8092,0690
